Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ZIAGEN,49702-0221-18,300 mg/1,"TABLET, FILM COATED",ORAL,NDA020977,ViiV Healthcare Company,49702-221,abacavir sulfate,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,12/29/1998,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (49702-221-18)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
ZIAGEN,49702-0222-48,20 mg/mL,SOLUTION,ORAL,NDA020978,ViiV Healthcare Company,49702-222,abacavir sulfate,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,1/28/1999,N/A,NDA,1 BOTTLE in 1 CARTON (49702-222-48)  > 240 mL in 1 BOTTLE,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Emtriva,70518-1847-00,200 mg/1,CAPSULE,ORAL,NDA021500,REMEDYREPACK INC.,70518-1847,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,2/4/2019,N/A,NDA,4 CAPSULE in 1 BLISTER PACK (70518-1847-0),"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Emtriva,61958-0602-01,10 mg/mL,SOLUTION,ORAL,NDA021896,"Gilead Sciences, Inc.",61958-0602,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,9/28/2005,N/A,NDA,"1 BOTTLE, DISPENSING in 1 CARTON (61958-0602-1)  > 170 mL in 1 BOTTLE, DISPENSING","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Emtriva,61958-0601-01,200 mg/1,CAPSULE,ORAL,NDA021500,"Gilead Sciences, Inc.",61958-0601,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,7/2/2003,N/A,NDA,"30 CAPSULE in 1 BOTTLE, PLASTIC (61958-0601-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,00173-0662-00,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021003,GlaxoSmithKline LLC,0173-0662,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,12/17/1998,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0173-0662-00)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
EPIVIR,00173-0663-00,5 mg/mL,SOLUTION,ORAL,NDA021004,GlaxoSmithKline LLC,0173-0663,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,12/23/1998,N/A,NDA,240 mL in 1 BOTTLE (0173-0663-00),"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
EPIVIR,49702-0205-48,10 mg/mL,SOLUTION,ORAL,NDA020596,ViiV Healthcare Company,49702-205,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,240 mL in 1 BOTTLE (49702-205-48),"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,49702-0203-18,150 mg/1,"TABLET, FILM COATED",ORAL,NDA020564,ViiV Healthcare Company,49702-203,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (49702-203-18)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,49702-0204-13,300 mg/1,"TABLET, FILM COATED",ORAL,NDA020564,ViiV Healthcare Company,49702-204,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (49702-204-13)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0404-01,150 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0404,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0404-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0405-01,200 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0405,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0405-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,50090-0754-00,300 mg/1,"TABLET, COATED",ORAL,NDA021356,A-S Medication Solutions,50090-0754,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,10/26/2001,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (50090-0754-0)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Viread,61958-0406-01,250 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0406,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0406-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0401-01,300 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0401,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,10/26/2001,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0401-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0403-01,40 mg/g,POWDER,ORAL,NDA022577,"Gilead Sciences, Inc.",61958-0403,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"1 BOTTLE, PLASTIC in 1 CARTON (61958-0403-1)  > 60 g in 1 BOTTLE, PLASTIC","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
RETROVIR,49702-0211-20,100 mg/1,CAPSULE,ORAL,NDA019655,ViiV Healthcare Company,49702-211,zidovudine,ZIDOVUDINE,HUMAN PRESCRIPTION DRUG,10/28/2010,N/A,NDA,100 CAPSULE in 1 BOTTLE (49702-211-20),"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
RETROVIR,49702-0213-26,10 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA019951,ViiV Healthcare Company,49702-213,zidovudine,ZIDOVUDINE,HUMAN PRESCRIPTION DRUG,11/4/2010,N/A,NDA,"5 VIAL, SINGLE-USE in 1 CARTON (49702-213-26)  > 20 mL in 1 VIAL, SINGLE-USE (49702-213-01)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
RETROVIR,49702-0212-48,10 mg/mL,SOLUTION,ORAL,NDA019910,ViiV Healthcare Company,49702-212,zidovudine,ZIDOVUDINE,HUMAN PRESCRIPTION DRUG,10/28/2010,N/A,NDA,240 mL in 1 BOTTLE (49702-212-48),"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
PIFELTRO,00006-3069-01,100 mg/1,"TABLET, FILM COATED",ORAL,NDA210806,Merck Sharp & Dohme Corp.,0006-3069,doravirine,DORAVIRINE,HUMAN PRESCRIPTION DRUG,7/20/2018,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-3069-01)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Non-Nucleoside Analog [EXT]",N/A,No,12/31/2020
SUSTIVA,00056-0470-30,50 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA020972,Bristol-Myers Squibb Pharma Company,0056-0470,Efavirenz,EFAVIRENZ,HUMAN PRESCRIPTION DRUG,9/17/1998,N/A,NDA,"30 CAPSULE, GELATIN COATED in 1 BOTTLE (0056-0470-30)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",N/A,No,12/31/2020
SUSTIVA,00056-0474-92,200 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA020972,Bristol-Myers Squibb Pharma Company,0056-0474,efavirenz,EFAVIRENZ,HUMAN PRESCRIPTION DRUG,9/17/1998,N/A,NDA,"90 CAPSULE, GELATIN COATED in 1 BOTTLE (0056-0474-92)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",N/A,No,12/31/2020
SUSTIVA,00056-0510-30,600 mg/1,"TABLET, FILM COATED",ORAL,NDA021360,Bristol-Myers Squibb Pharma Company,0056-0510,efavirenz,EFAVIRENZ,HUMAN PRESCRIPTION DRUG,1/2/2002,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0056-0510-30)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",N/A,No,12/31/2020
Intelence,59676-0571-01,200 mg/1,TABLET,ORAL,NDA022187,Janssen Products LP,59676-571,etravirine,ETRAVIRINE,HUMAN PRESCRIPTION DRUG,12/22/2010,N/A,NDA,"60 TABLET in 1 BOTTLE, PLASTIC (59676-571-01)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Intelence,59676-0572-01,25 mg/1,TABLET,ORAL,NDA022187,Janssen Products LP,59676-572,etravirine,ETRAVIRINE,HUMAN PRESCRIPTION DRUG,3/26/2012,N/A,NDA,"120 TABLET in 1 BOTTLE, PLASTIC (59676-572-01)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Intelence,59676-0570-01,100 mg/1,TABLET,ORAL,NDA022187,Janssen Products LP,59676-570,etravirine,ETRAVIRINE,HUMAN PRESCRIPTION DRUG,1/18/2008,N/A,NDA,"120 TABLET in 1 BOTTLE, PLASTIC (59676-570-01)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Viramune,00597-0123-30,400 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA201152,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0123,nevirapine,NEVIRAPINE,HUMAN PRESCRIPTION DRUG,4/11/2011,N/A,NDA,"30 TABLET, EXTENDED RELEASE in 1 BOTTLE (0597-0123-30)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA]",N/A,No,12/31/2020
Viramune,00597-0046-60,200 mg/1,TABLET,ORAL,NDA020636,Boehringer Ingelheim Pharmaceuticals Inc.,0597-0046,nevirapine,NEVIRAPINE,HUMAN PRESCRIPTION DRUG,8/1/2001,N/A,NDA,60 TABLET in 1 BOTTLE (0597-0046-60),"Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA]",N/A,No,12/31/2020
Viramune,00597-0047-24,50 mg/5mL,SUSPENSION,ORAL,NDA020933,Boehringer Ingelheim Pharmaceuticals Inc.,0597-0047,nevirapine,NEVIRAPINE,HUMAN PRESCRIPTION DRUG,10/1/2001,N/A,NDA,"1 BOTTLE, PLASTIC in 1 CARTON (0597-0047-24)  > 240 mL in 1 BOTTLE, PLASTIC","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA]",N/A,No,12/31/2020
Viramune XR (extended release),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,                               N/A,N/A,N/A,N/A,N/A,                               N/A,N/A,                                                    N/A
EDURANT,59676-0278-01,25 mg/1,"TABLET, FILM COATED",ORAL,NDA202022,"Janssen Products, LP",59676-278,rilpivirine hydrochloride,RILPIVIRINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,5/20/2011,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (59676-278-01)","Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Non-Nucleoside Analog [EXT]",N/A,No,12/31/2021
REYATAZ,00003-3631-12,200 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021567,"E.R. Squibb & Sons, L.L.C.",0003-3631,ATAZANAVIR,ATAZANAVIR SULFATE,HUMAN PRESCRIPTION DRUG,6/24/2003,N/A,NDA,"60 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0003-3631-12)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UGT1A1 Inhibitors [MoA], UDP Glucuronosyltransferases Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA]",N/A,No,12/31/2020
REYATAZ,00003-3638-10,50 mg/1,POWDER,ORAL,NDA206352,"E.R. Squibb & Sons, L.L.C.",0003-3638,ATAZANAVIR,ATAZANAVIR SULFATE,HUMAN PRESCRIPTION DRUG,12/19/2014,N/A,NDA,30 PACKET in 1 CARTON (0003-3638-10)  > 1 POWDER in 1 PACKET,"HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UGT1A1 Inhibitors [MoA], UDP Glucuronosyltransferases Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA]",N/A,No,12/31/2020
REYATAZ,67296-1236-04,300 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021567,"RedPharm Drug, Inc.",67296-1236,REYATAZ,ATAZANAVIR SULFATE,HUMAN PRESCRIPTION DRUG,6/24/2003,N/A,NDA,"4 CAPSULE, GELATIN COATED in 1 BOTTLE (67296-1236-4)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UGT1A1 Inhibitors [MoA], UDP Glucuronosyltransferases Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA]",N/A,No,12/31/2021
REYATAZ,00003-3622-12,300 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021567,"E.R. Squibb & Sons, L.L.C.",0003-3622,ATAZANAVIR,ATAZANAVIR SULFATE,HUMAN PRESCRIPTION DRUG,6/24/2003,N/A,NDA,"30 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0003-3622-12)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UGT1A1 Inhibitors [MoA], UDP Glucuronosyltransferases Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA]",N/A,No,12/31/2020
REYATAZ,00003-3624-12,150 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021567,"E.R. Squibb & Sons, L.L.C.",0003-3624,ATAZANAVIR,ATAZANAVIR SULFATE,HUMAN PRESCRIPTION DRUG,6/24/2003,N/A,NDA,"60 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0003-3624-12)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UGT1A1 Inhibitors [MoA], UDP Glucuronosyltransferases Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA]",N/A,No,12/31/2020
PREZISTA (U),53808-0773-01, , , , ,State of Florida DOH Central Pharmacy, , , , , ,N/A, , ,N/A,N/A,N/A, 
PREZISTA,59676-0562-01,600 mg/1,"TABLET, FILM COATED",ORAL,NDA021976,Janssen Products LP,59676-562,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,3/8/2008,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (59676-562-01)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2021
PREZISTA,59676-0563-01,75 mg/1,"TABLET, FILM COATED",ORAL,NDA021976,Janssen Products LP,59676-563,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,1/14/2009,N/A,NDA,"480 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (59676-563-01)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2021
PREZISTA,59676-0564-01,150 mg/1,"TABLET, FILM COATED",ORAL,NDA021976,Janssen Products LP,59676-564,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,4/27/2009,N/A,NDA,"240 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (59676-564-01)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2021
PREZISTA,59676-0565-01,100 mg/mL,SUSPENSION,ORAL,NDA202895,Janssen Products LP,59676-565,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,12/16/2011,N/A,NDA,"1 BOTTLE, GLASS in 1 CARTON (59676-565-01)  > 200 mL in 1 BOTTLE, GLASS","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2021
PREZISTA,59676-0566-30,800 mg/1,"TABLET, FILM COATED",ORAL,NDA021976,Janssen Products LP,59676-566,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,11/9/2012,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (59676-566-30)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2021
PREZISTA,70518-1483-00,800 mg/1,"TABLET, FILM COATED",ORAL,NDA021976,REMEDYREPACK INC.,70518-1483,darunavir,DARUNAVIR ETHANOLATE,HUMAN PRESCRIPTION DRUG,10/6/2018,N/A,NDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (70518-1483-0)","HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",N/A,No,12/31/2020
LEXIVA,49702-0208-53,50 mg/mL,SUSPENSION,ORAL,NDA022116,ViiV Healthcare Company,49702-208,fosamprenavir calcium,FOSAMPRENAVIR CALCIUM,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,225 mL in 1 BOTTLE (49702-208-53),"Protease Inhibitor [EPC], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], P-Glycoprotein Inducers [MoA], HIV Protease Inhibitors [MoA]",N/A,No,12/31/2021
